"cycle","targetFound","degradedObserved","recoveredObserved","recoverySignalObserved","responseLatencyMs","recoveryLatencyMs","maxRecoverySignals"
"1","True","True","True","True","8440","43184","1"
"2","True","True","True","True","8339","43128","1"
"3","True","True","True","True","8468","43315","1"
"4","True","True","True","True","8438","43296","1"
"5","True","True","True","True","8466","43118","1"
"6","True","True","True","True","8461","43048","1"
"7","True","True","True","True","8359","42968","1"
"8","True","True","True","True","8375","42941","1"
"9","True","True","True","True","8355","43032","1"
"10","True","True","True","True","8356","43161","1"
